Id,SalePrice
1461,132034.23949
1462,149820.38875
1463,177541.84678
1464,197414.96774
1465,203775.67609
1466,170549.66291
1467,188990.02782
1468,159393.52767
1469,194731.48267
1470,119537.04637
1471,183713.08162
1472,99403.543729
1473,95326.111659
1474,144693.20271
1475,123347.49575
1476,361485.71305
1477,255358.52569
1478,273874.05049
1479,265751.42046
1480,522867.52182
1481,327192.42396
1482,204055.85244
1483,175713.0643
1484,165382.84306
1485,174352.83024
1486,192086.81993
1487,345577.06154
1488,229174.48968
1489,198735.06198
1490,239034.35013
1491,190706.49825
1492,92374.039559
1493,159183.66966
1494,282351.03676
1495,284782.03463
1496,225319.51541
1497,188283.33813
1498,178108.78187
1499,158225.89882
1500,152693.68538
1501,176262.10865
1502,157375.14652
1503,287215.43033
1504,241662.92128
1505,225178.7465
1506,191646.14547
1507,258745.72341
1508,193229.67149
1509,155758.57082
1510,141582.40789
1511,159861.91354
1512,182383.99885
1513,142032.57311
1514,168474.24163
1515,198266.96032
1516,153120.08341
1517,175033.10191
1518,133903.13807
1519,216314.54631
1520,128851.49646
1521,133837.6006
1522,174321.13103
1523,111471.80759
1524,122585.90765
1525,123201.19251
1526,107172.77509
1527,107450.78446
1528,151311.26428
1529,139985.2125
1530,208186.7269
1531,103145.20426
1532,102949.76542
1533,144190.86811
1534,124372.29773
1535,147857.24596
1536,110695.71009
1537,57064.450427
1538,138580.18139
1539,185738.9266
1540,78832.114311
1541,135731.2274
1542,146822.0983
1543,176781.79707
1544,91387.691872
1545,116026.27809
1546,124916.16676
1547,134669.95382
1548,140560.34213
1549,118199.56564
1550,125016.23507
1551,107783.24163
1552,124676.21313
1553,138909.88401
1554,120647.85769
1555,168242.27179
1556,94181.375285
1557,108279.78174
1558,105329.18825
1559,60063.51881
1560,141964.64449
1561,117273.3073
1562,133297.90675
1563,120755.57435
1564,145261.09896
1565,138479.50739
1566,236270.87336
1567,80622.180596
1568,226151.8722
1569,120136.89704
1570,133117.4841
1571,111496.6153
1572,143457.15313
1573,229851.42309
1574,117032.2154
1575,225691.30342
1576,236029.42977
1577,179646.18092
1578,139665.86898
1579,139858.32725
1580,189433.98697
1581,152849.8354
1582,127582.47323
1583,296651.42323
1584,219576.98609
1585,137828.03902
1586,82451.637268
1587,104678.00884
1588,148307.42429
1589,96213.832041
1590,135091.35211
1591,96245.064412
1592,114770.44749
1593,123971.12857
1594,134345.14996
1595,108557.40027
1596,231637.25481
1597,191535.80416
1598,225390.66944
1599,174810.0306
1600,158694.17242
1601,79739.633817
1602,122507.86205
1603,61077.597275
1604,294146.69148
1605,227219.95796
1606,163299.57502
1607,189303.28047
1608,202844.3157
1609,183587.14113
1610,149691.52707
1611,130892.4589
1612,172698.48734
1613,162123.94882
1614,112018.73231
1615,89697.203386
1616,80361.49711
1617,92331.484351
1618,132927.39851
1619,137395.18125
1620,129378.99078
1621,139268.09201
1622,141927.77066
1623,252509.12352
1624,203440.38085
1625,117072.26419
1626,166680.70889
1627,191817.37282
1628,282118.15185
1629,172754.47404
1630,386092.20393
1631,232003.32582
1632,247015.78254
1633,163734.43627
1634,179683.78622
1635,170057.09306
1636,154368.21087
1637,210211.59278
1638,181051.18144
1639,183513.39677
1640,254786.31669
1641,177227.39311
1642,227278.30807
1643,225400.82999
1644,228204.81369
1645,219597.76852
1646,157182.39335
1647,154688.73393
1648,128873.01803
1649,142106.1723
1650,112574.66254
1651,123469.27135
1652,99081.715621
1653,102941.13967
1654,147220.05013
1655,132895.13167
1656,137124.88763
1657,148340.74594
1658,145180.49528
1659,134018.49713
1660,155514.809
1661,444904.02292
1662,404333.56983
1663,379377.03081
1664,602768.50872
1665,301625.2201
1666,339444.12261
1667,351070.99286
1668,358560.77236
1669,287866.57941
1670,332768.24111
1671,266878.01326
1672,466336.93237
1673,289451.65466
1674,243993.64526
1675,196828.37367
1676,189747.61944
1677,214496.78409
1678,505981.26923
1679,379117.13605
1680,318753.54365
1681,234784.38547
1682,314692.97414
1683,191003.05457
1684,175769.15837
1685,168951.74504
1686,166677.95276
1687,166684.09492
1688,188139.81218
1689,190589.41205
1690,189313.53885
1691,178797.92956
1692,250836.20147
1693,169181.10298
1694,176813.00723
1695,163192.55967
1696,277582.23881
1697,170719.16722
1698,350412.90884
1699,290071.24529
1700,253473.6908
1701,269646.19179
1702,256574.63636
1703,232703.3579
1704,278310.13225
1705,230556.1159
1706,467544.30198
1707,218438.30921
1708,204640.28562
1709,270997.05545
1710,220619.68988
1711,267296.47729
1712,255942.6217
1713,259256.99831
1714,228827.66943
1715,208198.01316
1716,183131.61576
1717,169526.70663
1718,143668.43988
1719,209351.70287
1720,235160.15047
1721,170416.9002
1722,136221.65328
1723,160709.72024
1724,203857.53973
1725,222542.93936
1726,187533.15601
1727,151616.4399
1728,178677.66964
1729,157961.36006
1730,150829.67442
1731,118348.13052
1732,134331.94662
1733,117368.49148
1734,121636.07468
1735,135380.44943
1736,115165.12855
1737,358979.03027
1738,242853.88058
1739,278940.94319
1740,221437.54008
1741,194485.9627
1742,173146.23152
1743,181423.93036
1744,376205.60326
1745,214685.85906
1746,203778.24137
1747,209657.50238
1748,238418.03398
1749,146358.66382
1750,134606.40786
1751,248667.97511
1752,121195.66558
1753,149373.9739
1754,193540.94141
1755,158698.09877
1756,127694.14473
1757,122557.27437
1758,138240.67273
1759,163185.69917
1760,159052.14583
1761,142496.63577
1762,172661.53814
1763,177373.59162
1764,114720.37089
1765,187738.57874
1766,196292.12889
1767,229132.99068
1768,142239.88954
1769,163664.11768
1770,148582.00641
1771,117299.09526
1772,135679.1163
1773,116001.44817
1774,149149.47408
1775,137757.56713
1776,124826.19871
1777,108538.43812
1778,140017.20646
1779,123057.5954
1780,176353.0639
1781,125794.24997
1782,92779.560154
1783,141118.96578
1784,104863.53447
1785,117661.94243
1786,134720.842
1787,165038.05076
1788,71229.065982
1789,97444.080072
1790,76301.348558
1791,200227.31669
1792,169925.5117
1793,132430.60982
1794,154402.15762
1795,139118.185
1796,129051.15496
1797,126308.56063
1798,118770.24753
1799,111949.52231
1800,120715.15264
1801,132841.15261
1802,134807.31838
1803,152504.58736
1804,133690.59696
1805,136240.55546
1806,134376.42695
1807,121712.33651
1808,112592.99997
1809,117390.47015
1810,128250.95633
1811,95988.89118
1812,92749.705957
1813,132991.05334
1814,95390.199188
1815,61867.808838
1816,100456.89186
1817,98571.140941
1818,141538.77523
1819,120688.46204
1820,51733.442582
1821,117053.04674
1822,140929.56275
1823,38944.650465
1824,125979.35406
1825,142514.79821
1826,105162.64213
1827,100176.39759
1828,128425.06141
1829,117778.45352
1830,140017.47442
1831,150234.00233
1832,76835.379743
